Budget,Runtime,Popularity,Vote_Average,Vote_Count,Genres,Revenue,Release_Year,Release_Month,Release_Quarter,Revenue_Log,Budget_Log
30000000.0,81.0,21.946943,7.7,5415.0,Animation,373554033.0,1995,10,4,19.73857322141759,17.216707972959764
65000000.0,104.0,17.015539,6.9,2413.0,Adventure,262797249.0,1995,12,4,19.386893380288626,17.989897843244528
16000000.0,127.0,3.859495,6.1,34.0,Comedy,81452156.0,1995,12,4,18.215526375166277,16.588099342704055
60000000.0,170.0,17.924927,7.7,1886.0,Action,187436818.0,1995,12,4,19.04895238125583,17.909855136853043
35000000.0,106.0,5.23158,5.5,174.0,Action,64350171.0,1995,12,4,17.979850164885512,17.370858648025116
58000000.0,130.0,14.686036,6.6,1194.0,Adventure,352194034.0,1995,11,4,19.679692817483186,17.87595358575207
62000000.0,106.0,6.318445,6.5,199.0,Comedy,107879496.0,1995,11,4,18.496525393636873,17.9426449591384
44000000.0,192.0,5.092,7.1,72.0,History,13681765.0,1995,12,4,16.43157455539407,17.599700214609808
98000000.0,119.0,7.284477,5.7,137.0,Action,10017322.0,1995,12,4,16.119826452257225,18.400478046838927
52000000.0,178.0,10.137389,7.8,1343.0,Drama,116112375.0,1995,11,4,18.570069038747533,17.76675429577647
16500000.0,136.0,10.673167,7.2,364.0,Drama,135000000.0,1995,12,4,18.72078534381011,16.61887099947687
4000000.0,98.0,9.026586,6.5,539.0,Crime,4300000.0,1995,12,4,15.274125813221904,15.201805169084134
30000000.0,90.0,8.205448,6.1,1128.0,Crime,212385533.0,1995,11,4,19.173913737668016,17.216707972959764
60000000.0,103.0,7.337906,5.4,224.0,Action,35431113.0,1995,11,4,17.38310091862791,17.909855136853043
30250000.0,105.0,12.669608,6.4,305.0,Comedy,115101622.0,1995,10,4,18.561325974374626,17.225006775498976
50000000.0,132.0,11.065939,6.0,394.0,Action,30303072.0,1995,10,4,17.22675968447894,17.72753358339242
3600000.0,112.0,10.332025,7.1,365.0,Drama,49800000.0,1995,10,4,17.723525562075203,15.096444681204078
12000000.0,100.0,8.681325,6.6,91.0,Comedy,27400000.0,1995,10,4,17.126053607854647,16.300417291085605
18000000.0,108.0,9.822423,7.6,308.0,Fantasy,1738611.0,1995,5,2,14.368597651708424,16.705882371415992
29500000.0,129.0,12.297305,7.4,2470.0,Science Fiction,168840000.0,1995,12,4,18.94446208480134,17.19990085520835
30000000.0,89.0,14.404764,6.0,756.0,Fantasy,254134910.0,1995,7,3,19.35337582964417,17.216707972959764
11000000.0,122.0,6.891317,7.3,350.0,Drama,39363635.0,1995,12,4,17.488353003930516,16.213405921671733
18000000.0,101.0,10.870138,5.4,452.0,Action,122195920.0,1995,8,3,18.621136224439255,16.705882371415992
20000000.0,106.0,10.448481,6.7,177.0,Fantasy,21284514.0,1995,5,2,16.873490370985255,16.811242881518265
10000000.0,116.0,4.485958,6.5,38.0,Drama,23574130.0,1995,10,4,16.975660524722755,16.118095750958314
33000000.0,127.0,18.45743,8.1,5915.0,Crime,327311859.0,1995,9,3,19.606423974684137,17.312018149733785
55000000.0,81.0,13.280069,6.7,1509.0,Adventure,346079773.0,1995,6,2,19.66217986714061,17.822843761378564
6000000.0,106.0,16.302466,8.1,3334.0,Drama,23341568.0,1995,7,3,16.96574640621366,15.607270193858982
15000000.0,95.0,15.899134,6.7,145.0,Comedy,6700000.0,1995,9,3,15.717618233614914,16.52356082573315
3500000.0,91.0,14.56965,7.0,513.0,Comedy,28215918.0,1995,4,2,17.155396880182252,15.068273812173887
19000000.0,108.0,15.339153,6.9,1644.0,Horror,25836616.0,1996,1,1,17.067303307255134,16.759949589762293
50000000.0,91.0,5.912223,4.1,54.0,Action,11534477.0,1995,11,4,16.260851194989943,17.72753358339242
15000000.0,90.0,2.936443,3.9,16.0,Comedy,2042530.0,1996,1,1,14.529700283079698,16.52356082573315
20000000.0,108.0,12.758848,6.1,154.0,Horror,5781885.0,1995,9,3,15.570240485002937,16.811242881518265
8000000.0,116.0,4.486179,6.7,87.0,Drama,529766.0,1995,12,4,13.18019256622443,15.894952224644102
38000000.0,129.0,9.568604,6.3,86.0,Action,10300000.0,1996,2,1,16.14765455028724,17.453096744006448
8169363.0,90.0,6.848591,6.1,190.0,Crime,8175346.0,1995,11,4,15.916633720329946,15.915901618028812
47000000.0,104.0,12.866139,5.7,77.0,Drama,12379402.0,1996,2,1,16.331544601117734,17.665658180950928
14000000.0,100.0,9.071127,4.5,113.0,Comedy,19800000.0,1995,10,4,16.801192546169812,16.454567959008102
50000000.0,108.0,14.957626,5.7,459.0,Action,150270147.0,1996,2,1,18.82794521889528,17.72753358339242
7000000.0,91.0,6.904831,6.8,285.0,Comedy,560069.0,1996,2,1,13.235817054899483,15.76142084987672
12000000.0,92.0,9.592265,6.5,767.0,Comedy,41205099.0,1996,2,1,17.534072593066618,16.300417291085605
24000000.0,135.0,5.951077,7.3,397.0,Drama,182016617.0,1995,5,2,19.019608548565085,16.993564429978885
72000000.0,177.0,20.755149,7.7,3404.0,Action,210000000.0,1995,5,2,19.162618093443648,18.09217669086922
1300000.0,114.0,14.092713,8.1,2632.0,Crime,28262574.0,1976,2,1,17.157049049257896,14.077875591662238
7500000.0,91.0,12.314278,6.5,245.0,Crime,32392047.0,1995,1,1,17.293423518540404,15.830413711839864
25000000.0,113.0,1.522412,5.1,7.0,Comedy,6278139.0,1995,9,3,15.652584316230964,17.034386422832473
40000000.0,117.0,6.506983,5.4,139.0,Comedy,70100000.0,1992,6,2,18.065433366270153,17.50439003707821
7000000.0,92.0,5.579088,6.3,66.0,Comedy,14702438.0,1996,3,1,16.50352395635338,15.76142084987672
